id,client_id,product_category,product_company,subtype,amount,date,transaction_type
79443,86,5,Burger King,Purchase,329,2020-12-20 13:47:04,Negative
205581,222,10,Great Moscow Circus,Purchase,689,2020-12-20 13:48:55,Negative
519953,560,6,Arrow,Purchase,90,2020-12-20 13:49:11,Negative
300866,325,6,Moscow subway,Purchase,74,2020-12-20 13:49:15,Negative
674005,726,1,BelkaCar,Purchase,1024,2020-12-20 13:49:34,Negative
257593,279,5,Yakitoria,Purchase,416,2020-12-20 13:49:41,Negative
136788,147,20,Bowling Club Scooter,Purchase,517,2020-12-20 13:49:45,Negative
842797,907,28,Bowling Club Scooter,Replenishment,979,2020-12-20 13:50:15,Positive
23607,26,6,Arrow,Purchase,91,2020-12-20 13:50:45,Negative
638490,687,6,Arrow,Purchase,81,2020-12-20 13:50:57,Negative
879285,947,7,Pharmacy VITA Express,Purchase,592,2020-12-20 13:51:47,Negative
794203,856,6,Arrow,Purchase,79,2020-12-20 13:52:03,Negative
693544,747,7,Pharmacy VITA Express,Purchase,133,2020-12-20 13:53:15,Negative
380019,410,2,Yandex.Lavka,Purchase,800,2020-12-20 13:53:38,Negative
618655,665,20,Bowling Club Scooter,Purchase,1464,2020-12-20 13:53:42,Negative
848922,914,9,Storytel,Purchase,310,2020-12-20 13:53:46,Negative
137755,148,28,Bowling Club Scooter,transfer,1293,2020-12-20 13:54:14,Negative
273212,296,1,Carousel,Purchase,493,2020-12-20 13:54:36,Negative
928030,999,28,Bowling Club Scooter,transfer,2402,2020-12-20 13:54:43,Negative
720187,775,14,Miraj Restaurant,Purchase,748,2020-12-20 13:55:30,Negative
383143,413,6,Arrow,Purchase,96,2020-12-20 13:55:39,Negative
496679,535,6,Moscow subway,Purchase,80,2020-12-20 13:56:08,Negative
621054,668,6,Arrow,Purchase,58,2020-12-20 13:56:41,Negative
90774,98,5,KFC,Purchase,469,2020-12-20 13:56:50,Negative
817917,881,6,Moscow subway,Purchase,77,2020-12-20 13:57:24,Negative
670752,722,6,Moscow subway,Purchase,92,2020-12-20 14:00:04,Negative
90389,97,10,Bowling Club Scooter,Purchase,282,2020-12-20 14:01:18,Negative
605280,651,6,Arrow,Purchase,95,2020-12-20 14:01:45,Negative
555125,598,6,Arrow,Purchase,60,2020-12-20 14:01:49,Negative
305649,330,6,Moscow subway,Purchase,95,2020-12-20 14:02:24,Negative
587654,632,6,Moscow subway,Purchase,76,2020-12-20 14:02:40,Negative
331076,358,6,Moscow subway,Purchase,95,2020-12-20 14:03:37,Negative
62513,68,3,GETT,Purchase,970,2020-12-20 14:04:10,Negative
705832,760,6,Arrow,Purchase,88,2020-12-20 14:04:24,Negative
661526,712,6,Arrow,Purchase,86,2020-12-20 14:04:29,Negative
851796,917,10,Great Moscow Circus,Purchase,361,2020-12-20 14:04:39,Negative
182920,198,6,Arrow,Purchase,69,2020-12-20 14:06:07,Negative
593493,638,14,Skala Cafe,Purchase,2377,2020-12-20 14:07:31,Negative
172266,186,18,Bowling Club Scooter,Purchase,2654,2020-12-20 14:08:21,Negative
732079,788,6,Arrow,Purchase,81,2020-12-20 14:08:33,Negative
190774,207,5,PizzaHut,Purchase,516,2020-12-20 14:09:02,Negative
444803,479,19,Bowling Club Scooter,Purchase,1641,2020-12-20 14:10:07,Negative
58864,64,5,Yakitoria,Purchase,335,2020-12-20 14:10:10,Negative
318792,344,13,Lamoda,Purchase,9306,2020-12-20 14:10:19,Negative
112940,121,9,Rospechat,Purchase,269,2020-12-20 14:10:37,Negative
278318,301,6,Arrow,Purchase,77,2020-12-20 14:11:00,Negative
372838,402,6,Arrow,Purchase,76,2020-12-20 14:13:43,Negative
504763,544,5,Tanuki,Purchase,437,2020-12-20 14:14:06,Negative
402510,434,5,PizzaHut,Purchase,593,2020-12-20 14:14:10,Negative
98335,106,6,Arrow,Purchase,90,2020-12-20 14:14:18,Negative
132560,143,5,Burger King,Purchase,192,2020-12-20 14:14:23,Negative
633259,681,6,Moscow subway,Purchase,56,2020-12-20 14:14:51,Negative
704646,759,5,PizzaHut,Purchase,404,2020-12-20 14:14:55,Negative
896114,966,5,Dodo Pizza,Purchase,249,2020-12-20 14:15:08,Negative
471698,509,3,Kiwi Taxi,Purchase,715,2020-12-20 14:15:16,Negative
187972,204,5,Burger King,Purchase,193,2020-12-20 14:15:25,Negative
889607,959,5,Burger King,Purchase,567,2020-12-20 14:16:29,Negative
270881,293,6,Arrow,Purchase,72,2020-12-20 14:16:48,Negative
481155,519,3,Citymobil,Purchase,504,2020-12-20 14:17:55,Negative
137829,149,2,Platypus Online,Purchase,3933,2020-12-20 14:18:00,Negative
676090,728,6,Arrow,Purchase,98,2020-12-20 14:19:14,Negative
45412,49,6,Arrow,Purchase,88,2020-12-20 14:20:25,Negative
668075,719,6,Moscow subway,Purchase,97,2020-12-20 14:20:59,Negative
783294,844,9,Read-city,Purchase,424,2020-12-20 14:21:08,Negative
253071,274,2,SberMarket,Purchase,4179,2020-12-20 14:22:45,Negative
893983,963,28,Bowling Club Scooter,Replenishment,2429,2020-12-20 14:23:01,Positive
658545,709,6,Moscow subway,Purchase,87,2020-12-20 14:23:12,Negative
678806,731,6,Moscow subway,Purchase,52,2020-12-20 14:24:33,Negative
143781,155,6,Arrow,Purchase,67,2020-12-20 14:25:27,Negative
582126,626,11,Rive Gauche,Purchase,1193,2020-12-20 14:25:31,Negative
891805,961,6,Arrow,Purchase,77,2020-12-20 14:26:34,Negative
426036,459,28,Bowling Club Scooter,transfer,2157,2020-12-20 14:29:09,Negative
894605,964,6,Arrow,Purchase,55,2020-12-20 14:30:05,Negative
47916,52,5,Dodo Pizza,Purchase,417,2020-12-20 14:30:25,Negative
24630,27,6,Arrow,Purchase,59,2020-12-20 14:30:33,Negative
701783,755,28,Bowling Club Scooter,Replenishment,1961,2020-12-20 14:31:53,Positive
314861,340,6,Moscow subway,Purchase,54,2020-12-20 14:31:57,Negative
926477,998,5,McDonald's,Purchase,514,2020-12-20 14:32:11,Negative
459902,496,5,Burger King,Purchase,593,2020-12-20 14:32:26,Negative
96292,104,5,KFC,Purchase,451,2020-12-20 14:33:55,Negative
23154,25,28,Bowling Club Scooter,Replenishment,2105,2020-12-20 14:34:16,Positive
481369,519,6,Arrow,Purchase,68,2020-12-20 14:34:39,Negative
617552,664,9,Storytel,Purchase,288,2020-12-20 14:36:09,Negative
478117,515,28,Bowling Club Scooter,transfer,272,2020-12-20 14:36:15,Negative
481897,519,20,Bowling Club Scooter,Purchase,1407,2020-12-20 14:36:47,Negative
117280,126,6,Moscow subway,Purchase,94,2020-12-20 14:37:48,Negative
23042,25,9,Storytel,Purchase,541,2020-12-20 14:38:57,Negative
445059,480,2,Platypus Online,Purchase,2459,2020-12-20 14:39:43,Negative
440394,475,5,Dodo Pizza,Purchase,397,2020-12-20 14:40:52,Negative
129874,140,5,Yakitoria,Purchase,502,2020-12-20 14:41:34,Negative
646465,695,17,Bowling Club Scooter,Purchase,40156,2020-12-20 14:43:52,Negative
607481,653,13,Bershka,Purchase,8233,2020-12-20 14:44:14,Negative
138422,149,14,Own company,Purchase,1291,2020-12-20 14:44:19,Negative
484509,522,6,Moscow subway,Purchase,94,2020-12-20 14:44:24,Negative
581464,626,2,Yandex.Lavka,Purchase,4600,2020-12-20 14:45:02,Negative
469745,506,20,Bowling Club Scooter,Purchase,2386,2020-12-20 14:45:07,Negative
785151,846,8,Okko,Purchase,309,2020-12-20 14:46:06,Negative
101438,109,6,Arrow,Purchase,83,2020-12-20 14:46:25,Negative
585991,630,15,Lukoil gas station,Purchase,1467,2020-12-20 14:46:43,Negative
752664,811,6,Moscow subway,Purchase,96,2020-12-20 14:47:08,Negative
364696,393,16,Bowling Club Scooter,Purchase,1391,2020-12-20 14:47:55,Negative
191942,208,6,Moscow subway,Purchase,91,2020-12-20 14:48:30,Negative
455225,491,5,PizzaHut,Purchase,194,2020-12-20 14:50:56,Negative
565181,608,28,Bowling Club Scooter,transfer,187,2020-12-20 14:51:31,Negative
827991,892,5,Dodo Pizza,Purchase,496,2020-12-20 14:52:13,Negative
880896,949,11,Hairdresser DIMAX,Purchase,2228,2020-12-20 14:52:35,Negative
285327,308,28,Bowling Club Scooter,transfer,2545,2020-12-20 14:52:52,Negative
867652,935,5,Burger King,Purchase,221,2020-12-20 14:53:30,Negative
743792,801,5,Tanuki,Purchase,380,2020-12-20 14:54:02,Negative
288779,312,14,IL patio,Purchase,2200,2020-12-20 14:56:06,Negative
553826,596,16,Bowling Club Scooter,Purchase,1166,2020-12-20 14:56:11,Negative
669216,720,9,Read-city,Purchase,224,2020-12-20 14:56:31,Negative
576857,621,5,Yakitoria,Purchase,431,2020-12-20 14:57:52,Negative
448404,483,7,366,Purchase,385,2020-12-20 14:58:58,Negative
283155,306,8,Kinohod,Purchase,383,2020-12-20 15:00:00,Negative
406317,438,6,Moscow subway,Purchase,58,2020-12-20 15:00:20,Negative
735065,792,1,BelkaCar,Purchase,969,2020-12-20 15:00:34,Negative
565658,609,6,Arrow,Purchase,74,2020-12-20 15:01:00,Negative
69840,75,28,Bowling Club Scooter,transfer,2137,2020-12-20 15:01:10,Negative
472190,509,6,Arrow,Purchase,71,2020-12-20 15:01:24,Negative
690885,744,20,Bowling Club Scooter,Purchase,2419,2020-12-20 15:03:56,Negative
924203,996,3,Citymobil,Purchase,977,2020-12-20 15:05:23,Negative
795665,857,28,Bowling Club Scooter,transfer,1261,2020-12-20 15:05:38,Negative
706213,760,10,Theater Magic Lantern,Purchase,443,2020-12-20 15:05:43,Negative
586034,630,20,Bowling Club Scooter,Purchase,948,2020-12-20 15:06:20,Negative
273299,296,2,Platypus Online,Purchase,2472,2020-12-20 15:06:39,Negative
739369,796,6,Arrow,Purchase,95,2020-12-20 15:08:32,Negative
702140,756,6,Moscow subway,Purchase,99,2020-12-20 15:10:34,Negative
512054,551,28,Bowling Club Scooter,transfer,1987,2020-12-20 15:10:35,Negative
65112,70,17,Bowling Club Scooter,Purchase,20573,2020-12-20 15:11:30,Negative
404384,436,6,Arrow,Purchase,68,2020-12-20 15:12:03,Negative
473484,510,28,Bowling Club Scooter,transfer,2229,2020-12-20 15:12:39,Negative
139303,150,6,Moscow subway,Purchase,83,2020-12-20 15:15:34,Negative
706244,760,8,Karo Film,Purchase,321,2020-12-20 15:15:54,Negative
277897,301,2,Yandex.Lavka,Purchase,4288,2020-12-20 15:15:55,Negative
291381,315,6,Arrow,Purchase,96,2020-12-20 15:16:29,Negative
333272,360,18,Bowling Club Scooter,Purchase,1520,2020-12-20 15:16:54,Negative
381754,411,28,Bowling Club Scooter,transfer,2391,2020-12-20 15:16:58,Negative
611932,658,6,Arrow,Purchase,72,2020-12-20 15:17:18,Negative
263878,285,18,Bowling Club Scooter,Purchase,588,2020-12-20 15:18:02,Negative
134222,145,3,GETT,Purchase,699,2020-12-20 15:18:05,Negative
342723,370,9,Rospechat,Purchase,438,2020-12-20 15:18:18,Negative
521706,562,6,Moscow subway,Purchase,72,2020-12-20 15:18:29,Negative
647644,697,2,SberMarket,Purchase,2751,2020-12-20 15:18:51,Negative
574175,618,6,Arrow,Purchase,94,2020-12-20 15:18:57,Negative
697880,752,1,Carousel,Purchase,1371,2020-12-20 15:19:00,Negative
371148,400,14,Skala Cafe,Purchase,2706,2020-12-20 15:19:02,Negative
872989,940,16,Bowling Club Scooter,Purchase,1462,2020-12-20 15:20:34,Negative
857866,924,6,Arrow,Purchase,60,2020-12-20 15:20:48,Negative
503067,542,2,SberMarket,Purchase,4120,2020-12-20 15:21:04,Negative
565689,609,6,Arrow,Purchase,85,2020-12-20 15:22:25,Negative
175003,189,28,Bowling Club Scooter,Replenishment,1878,2020-12-20 15:23:11,Positive
413491,446,6,Moscow subway,Purchase,95,2020-12-20 15:25:04,Negative
146401,158,6,Arrow,Purchase,77,2020-12-20 15:25:18,Negative
669754,721,6,Moscow subway,Purchase,65,2020-12-20 15:26:48,Negative
782354,843,11,BritVa Barbershop,Purchase,1700,2020-12-20 15:27:38,Negative
95257,103,3,YandexGO,Purchase,658,2020-12-20 15:27:51,Negative
697494,751,6,Arrow,Purchase,75,2020-12-20 15:28:27,Negative
578885,623,6,Moscow subway,Purchase,72,2020-12-20 15:30:46,Negative
648515,698,3,Citymobil,Purchase,429,2020-12-20 15:32:14,Negative
626400,673,28,Bowling Club Scooter,transfer,2502,2020-12-20 15:32:23,Negative
728739,785,5,Dodo Pizza,Purchase,362,2020-12-20 15:32:33,Negative
837666,902,6,Arrow,Purchase,58,2020-12-20 15:32:50,Negative
712871,767,17,Bowling Club Scooter,Purchase,19729,2020-12-20 15:32:53,Negative
248613,269,6,Arrow,Purchase,91,2020-12-20 15:33:35,Negative
792836,854,16,Bowling Club Scooter,Purchase,1356,2020-12-20 15:34:12,Negative
731287,787,9,CENTURY OF DEVELOPMENT,Purchase,322,2020-12-20 15:34:37,Negative
441970,476,7,Planet Health,Purchase,509,2020-12-20 15:35:23,Negative
141030,152,6,Arrow,Purchase,68,2020-12-20 15:35:34,Negative
719444,774,18,Bowling Club Scooter,Purchase,1661,2020-12-20 15:35:47,Negative
571301,615,6,Moscow subway,Purchase,64,2020-12-20 15:36:13,Negative
137904,149,5,KFC,Purchase,556,2020-12-20 15:38:18,Negative
216925,234,9,Read-city,Purchase,590,2020-12-20 15:38:30,Negative
586668,631,6,Arrow,Purchase,89,2020-12-20 15:38:34,Negative
637997,686,7,Pharmacy 23+,Purchase,147,2020-12-20 15:38:35,Negative
889691,959,5,Yakitoria,Purchase,199,2020-12-20 15:38:35,Negative
749704,808,1,Lifcar,Purchase,916,2020-12-20 15:39:20,Negative
364880,394,3,GETT,Purchase,244,2020-12-20 15:39:24,Negative
880316,948,28,Bowling Club Scooter,transfer,248,2020-12-20 15:39:37,Negative
243708,264,2,Platypus Online,Purchase,3197,2020-12-20 15:39:42,Negative
452272,487,14,Solo Burger Bar,Purchase,833,2020-12-20 15:40:40,Negative
195084,211,14,Miraj Restaurant,Purchase,1917,2020-12-20 15:40:58,Negative
764244,823,7,366,Purchase,223,2020-12-20 15:40:58,Negative
596268,641,18,Bowling Club Scooter,Purchase,2679,2020-12-20 15:41:46,Negative
643331,692,6,Arrow,Purchase,64,2020-12-20 15:42:57,Negative
912084,983,5,McDonald's,Purchase,310,2020-12-20 15:43:25,Negative
411063,443,13,Bershka,Purchase,5632,2020-12-20 15:43:33,Negative
220813,238,14,Skala Cafe,Purchase,562,2020-12-20 15:43:53,Negative
611220,657,11,Hairdresser DIMAX,Purchase,2316,2020-12-20 15:44:26,Negative
378149,408,5,KFC,Purchase,439,2020-12-20 15:45:21,Negative
532927,574,6,Arrow,Purchase,78,2020-12-20 15:45:23,Negative
885810,954,15,ROSNEFT,Purchase,1104,2020-12-20 15:45:23,Negative
766071,825,14,Skala Cafe,Purchase,1456,2020-12-20 15:45:55,Negative
287785,311,11,Rive Gauche,Purchase,1343,2020-12-20 15:46:24,Negative
21084,23,6,Arrow,Purchase,56,2020-12-20 15:46:29,Negative
398406,429,8,Karo Film,Purchase,402,2020-12-20 15:47:06,Negative
620164,667,6,Moscow subway,Purchase,69,2020-12-20 15:47:35,Negative
562927,606,6,Arrow,Purchase,92,2020-12-20 15:48:33,Negative
597945,643,9,CENTURY OF DEVELOPMENT,Purchase,329,2020-12-20 15:48:59,Negative
406908,439,5,KFC,Purchase,178,2020-12-20 15:49:18,Negative
576433,620,13,H&M,Purchase,9960,2020-12-20 15:49:45,Negative
575329,619,7,Pharmacy VITA Express,Purchase,199,2020-12-20 15:49:49,Negative
603419,649,6,Arrow,Purchase,80,2020-12-20 15:49:50,Negative
388607,419,5,Burger King,Purchase,349,2020-12-20 15:50:03,Negative
541250,583,6,Arrow,Purchase,89,2020-12-20 15:50:44,Negative
23182,25,28,Bowling Club Scooter,Replenishment,1832,2020-12-20 15:50:52,Positive
288462,312,6,Arrow,Purchase,92,2020-12-20 15:51:20,Negative
899385,969,28,Bowling Club Scooter,Replenishment,1895,2020-12-20 15:51:29,Positive
198477,215,5,Burger King,Purchase,296,2020-12-20 15:52:53,Negative
596916,642,9,Rospechat,Purchase,353,2020-12-20 15:54:27,Negative
391546,422,6,Arrow,Purchase,60,2020-12-20 15:56:09,Negative
37520,41,1,YouDrive,Purchase,1489,2020-12-20 15:56:48,Negative
420641,454,2,Crossroads,Purchase,542,2020-12-20 15:58:33,Negative
527709,569,1,Delimobil,Purchase,1117,2020-12-20 15:59:05,Negative
351396,379,11,Hairdresser DIMAX,Purchase,1312,2020-12-20 15:59:20,Negative
164472,178,2,SberMarket,Purchase,1720,2020-12-20 15:59:54,Negative
312405,337,20,Bowling Club Scooter,Purchase,614,2020-12-20 16:00:48,Negative
182675,198,6,Arrow,Purchase,79,2020-12-20 16:01:08,Negative
634507,682,28,Bowling Club Scooter,Replenishment,2846,2020-12-20 16:01:12,Positive
666934,718,6,Arrow,Purchase,84,2020-12-20 16:01:14,Negative
16795,19,2,SberMarket,Purchase,1081,2020-12-20 16:04:13,Negative
497178,535,28,Bowling Club Scooter,Replenishment,577,2020-12-20 16:04:38,Positive
84985,92,2,Yandex.Lavka,Purchase,4015,2020-12-20 16:05:13,Negative
848372,914,5,Tanuki,Purchase,426,2020-12-20 16:05:50,Negative
562309,605,8,Okko,Purchase,323,2020-12-20 16:06:28,Negative
562194,605,14,Solo Burger Bar,Purchase,807,2020-12-20 16:06:30,Negative
276325,299,5,PizzaHut,Purchase,542,2020-12-20 16:07:13,Negative
758460,817,6,Arrow,Purchase,72,2020-12-20 16:07:17,Negative
548330,591,5,Dodo Pizza,Purchase,458,2020-12-20 16:07:46,Negative
538322,580,6,Moscow subway,Purchase,53,2020-12-20 16:08:57,Negative
889430,958,28,Bowling Club Scooter,transfer,1011,2020-12-20 16:09:00,Negative
259715,281,6,Arrow,Purchase,84,2020-12-20 16:09:03,Negative
219515,237,6,Moscow subway,Purchase,98,2020-12-20 16:09:14,Negative
721254,776,16,Bowling Club Scooter,Purchase,1052,2020-12-20 16:09:41,Negative
731755,788,6,Moscow subway,Purchase,87,2020-12-20 16:10:05,Negative
394762,425,13,Marks&Spencer,Purchase,1138,2020-12-20 16:10:33,Negative
606788,653,3,Kiwi Taxi,Purchase,861,2020-12-20 16:10:51,Negative
540446,582,7,Planet Health,Purchase,296,2020-12-20 16:11:45,Negative
376573,406,6,Arrow,Purchase,80,2020-12-20 16:12:22,Negative
311202,336,6,Arrow,Purchase,50,2020-12-20 16:13:17,Negative
31350,34,9,Storytel,Purchase,513,2020-12-20 16:13:20,Negative
729019,785,6,Moscow subway,Purchase,50,2020-12-20 16:14:07,Negative
39816,43,6,Arrow,Purchase,69,2020-12-20 16:14:10,Negative
590922,636,1,Delimobil,Purchase,850,2020-12-20 16:16:49,Negative
774893,835,6,Arrow,Purchase,64,2020-12-20 16:16:49,Negative
734631,791,6,Arrow,Purchase,51,2020-12-20 16:18:15,Negative
341678,369,9,Read-city,Purchase,474,2020-12-20 16:19:21,Negative
798017,860,6,Moscow subway,Purchase,58,2020-12-20 16:20:20,Negative
461915,498,6,Arrow,Purchase,67,2020-12-20 16:20:42,Negative
464402,501,6,Arrow,Purchase,67,2020-12-20 16:20:43,Negative
358863,387,11,Hairdresser DIMAX,Purchase,1316,2020-12-20 16:20:52,Negative
509085,548,8,Cinema Pobeda,Purchase,479,2020-12-20 16:21:48,Negative
1418,2,6,Moscow subway,Purchase,80,2020-12-20 16:22:23,Negative
817290,880,14,Miraj Restaurant,Purchase,1235,2020-12-20 16:22:45,Negative
376967,406,28,Bowling Club Scooter,transfer,2214,2020-12-20 16:23:48,Negative
482166,520,5,KFC,Purchase,328,2020-12-20 16:24:32,Negative
629289,677,5,McDonald's,Purchase,360,2020-12-20 16:26:42,Negative
358812,387,6,Moscow subway,Purchase,61,2020-12-20 16:29:25,Negative
301987,326,10,Great Moscow Circus,Purchase,396,2020-12-20 16:29:28,Negative
284662,308,5,KFC,Purchase,442,2020-12-20 16:31:15,Negative
682994,736,1,Carousel,Purchase,532,2020-12-20 16:32:17,Negative
211183,228,6,Arrow,Purchase,81,2020-12-20 16:32:22,Negative
49892,54,6,Moscow subway,Purchase,66,2020-12-20 16:32:51,Negative
675324,727,6,Arrow,Purchase,66,2020-12-20 16:33:15,Negative
195847,212,6,Moscow subway,Purchase,51,2020-12-20 16:33:19,Negative
706790,761,6,Arrow,Purchase,88,2020-12-20 16:33:40,Negative
584002,628,14,Skala Cafe,Purchase,2662,2020-12-20 16:34:13,Negative
645085,694,6,Moscow subway,Purchase,99,2020-12-20 16:34:15,Negative
680150,732,28,Bowling Club Scooter,Replenishment,2747,2020-12-20 16:34:21,Positive
113330,122,6,Moscow subway,Purchase,56,2020-12-20 16:34:49,Negative
834248,898,13,WILDBERRIES,Purchase,6153,2020-12-20 16:34:59,Negative
664944,716,5,Tanuki,Purchase,172,2020-12-20 16:35:04,Negative
225580,244,5,Dodo Pizza,Purchase,252,2020-12-20 16:35:32,Negative
560692,604,5,Yakitoria,Purchase,521,2020-12-20 16:35:37,Negative
93472,101,5,KFC,Purchase,321,2020-12-20 16:35:48,Negative
210392,227,11,Hairdresser DIMAX,Purchase,1468,2020-12-20 16:36:51,Negative
513493,553,6,Arrow,Purchase,60,2020-12-20 16:36:54,Negative
146229,158,5,Tanuki,Purchase,198,2020-12-20 16:37:29,Negative
288751,312,14,Miraj Restaurant,Purchase,2016,2020-12-20 16:37:37,Negative
646012,695,6,Moscow subway,Purchase,79,2020-12-20 16:39:15,Negative
884195,953,5,McDonald's,Purchase,488,2020-12-20 16:39:18,Negative
561722,605,5,Yakitoria,Purchase,160,2020-12-20 16:39:27,Negative
862815,929,28,Bowling Club Scooter,Replenishment,489,2020-12-20 16:39:53,Positive
178514,193,16,Bowling Club Scooter,Purchase,712,2020-12-20 16:41:24,Negative
31394,34,21,Bowling Club Scooter,Purchase,839,2020-12-20 16:42:35,Negative
7383,8,15,Gas station GAZPROMNEFT,Purchase,1793,2020-12-20 16:43:20,Negative
63977,69,7,Pharmacy 23+,Purchase,318,2020-12-20 16:44:07,Negative
695788,749,28,Bowling Club Scooter,transfer,572,2020-12-20 16:44:15,Negative
924249,996,1,BelkaCar,Purchase,668,2020-12-20 16:44:46,Negative
263352,285,5,Tanuki,Purchase,594,2020-12-20 16:44:56,Negative
100813,108,28,Bowling Club Scooter,transfer,498,2020-12-20 16:45:05,Negative
191448,207,28,Bowling Club Scooter,transfer,1488,2020-12-20 16:45:28,Negative
608762,655,5,Yakitoria,Purchase,600,2020-12-20 16:45:51,Negative
386952,417,6,Arrow,Purchase,83,2020-12-20 16:46:57,Negative
623737,671,5,Burger King,Purchase,542,2020-12-20 16:47:07,Negative
528772,570,5,Burger King,Purchase,419,2020-12-20 16:47:33,Negative
759208,818,6,Arrow,Purchase,56,2020-12-20 16:48:41,Negative
